stock_id,stock_name,listing_date
6609,瀧澤科,2003-09-23
6612,奈米醫材,2018-07-18
6613,朋億*,2017-12-28
6615,慧智,2018-01-22
6616,特昇-KY,2018-01-10
6617,共信-KY,2024-06-18
6620,漢達,2025-12-23
6624,萬年清,2019-05-28
6629,泰金-KY,2019-06-06
6637,醫影,2024-06-18
6640,均華,2018-10-23
6642,富致,2019-09-23
6643,M31,2019-01-23
6649,台生材,2019-06-05
6651,全宇昕,2021-02-01
6654,天正國際,2018-10-23
6661,威健生技,2021-01-27
6662,樂斯科,2019-03-26
6664,群翊,2018-09-12
6667,信紘科,2018-11-13
6679,鈺太,2019-05-09
6680,鑫創電子,2019-09-16
6683,雍智科技,2019-04-23
6684,安格,2021-08-11
6690,安碁資訊,2019-10-30
6692,進能服,2024-02-02
6693,廣閎科,2022-03-01
6697,東捷資訊,2019-12-26
6703,軒郁,2020-10-20
6708,天擎,2022-12-29
6712,長聖,2021-01-08
6716,應廣,2020-03-27
6720,久昌,2024-12-04
6721,信實,2022-04-29
6725,矽科宏晟,2025-12-30
6727,亞泰金屬,2020-12-01
6728,上洋,2020-12-25
6730,常廣,2025-12-10
6732,昇佳電子,2020-06-08
6733,博晟生醫,2021-01-28
6735,美達科技,2022-04-29
6739,竹陞科技,2024-09-02
6741,91APP*-KY,2021-05-25
6751,智聯服務,2020-12-25
6752,叡揚,2020-12-10
6761,穩得,2021-11-08
6762,達亞,2020-12-18
6763,綠界科技*,2022-03-15
6767,台微醫,2021-01-25
6785,昱展新藥,2024-01-24
6788,華景電,2021-09-29
6791,虎門科技,2022-11-14
6803,崑鼎,2010-05-27
6804,明係,2022-03-31
6811,宏碁資訊,2022-08-09
6821,聯寶,2023-05-22
6823,濾能,2022-06-30
6829,千附精密,2022-03-11
6840,東研信超,2023-03-24
6841,長佳智能,2023-03-01
6843,進典,2022-11-21
6844,諾貝兒,2024-03-08
6846,綠茵,2023-05-15
6855,數泓科,2022-10-06
6856,鑫傳,2023-10-27
6859,伯特光,2022-11-28
6865,偉康科技,2023-01-11
6870,騰雲,2023-09-14
6872,浩宇生醫,2025-03-07
6874,倍力,2022-12-14
6875,國邑*,2024-03-26
6877,鏵友益,2023-06-16
6881,潤德,2024-05-21
6884,海柏特,2025-12-17
6894,衛司特,2023-11-29
6895,宏碩系統,2023-08-22
6899,創為精密,2024-04-08
6903,巨漢,2024-06-12
6904,伯鑫,2023-12-05
6907,雅特力-KY,2026-01-29
6910,德鴻,2025-12-11
6913,鴻呈,2024-10-01
6922,宸曜,2023-11-09
6925,意藍,2025-05-28
6929,佑全,2024-03-28
6945,圓祥生技,2026-06-05
6953,家碩,2024-05-13
6961,旅天下,2026-01-22
6967,汎瑋材料,2024-09-25
6968,萬達寵物,2024-08-14
6971,惠民實業,2025-10-02
6982,大井泵浦,2024-12-18
6983,華洋精機,2026-05-25
6986,和迅,2026-06-26
6996,力領科技,2024-12-10
6997,博弘,2024-12-16
7402,邑錡,2015-12-29
7547,碩網,2025-07-29
7556,意德士科技,2020-10-30
7584,樂意,2024-07-25
7642,昶瑞機電,2025-05-22
7703,銳澤,2024-11-13
7704,明遠精密,2024-12-16
7708,全家餐飲,2024-11-15
7709,榮田,2025-02-25
7712,博盛半導體,2024-12-26
7713,威力德生醫,2025-02-24
7714,創泓科技,2025-01-15
7715,裕山,2025-01-15
7716,昱臺國際,2025-10-28
7717,萊德光電-KY,2025-11-17
7718,友鋮,2025-03-18
7723,築間,2025-04-30
7728,光焱科技,2025-03-06
7734,印能科技,2025-02-26
7738,東聯互動,2025-10-16
7743,金利食安,2025-05-20
7744,崴寶,2025-11-27
7747,昕奇雲端,2025-07-11
7751,竑騰,2025-08-26
7753,星亞,2025-08-11
7757,金色三麥,2025-10-20
7767,仁大資訊,2025-12-10
7770,君曜,2025-12-10
7772,耀穎,2026-05-08
7777,能率亞洲,2025-12-22
7782,光速火箭,2025-10-28
7792,安葆,2026-01-28
7794,宏碁智新,2026-04-20
7805,威聯通,2025-12-22
7810,捷創科技,2025-12-23
7811,民盛,2026-03-25
7814,海昌生技,2026-07-16
7819,精誠金融,2026-05-27
7820,立盈,2026-04-27
7828,創新服務,2026-04-22
7839,達人網,2026-06-15
7842,天能綠電,2026-05-11
8024,佑華,2006-09-25
8027,鈦昇,2015-06-09
8032,光菱,2003-10-02
